"taskai","vidurkis","trasos","uolos","viso_laipioja_metu","lygis","amzius_kai_pradejo","birth","ugis","svoris","lytis"
"368387","1203.88","250","68","12","9A+","10","1980-09-07 00:00:00","174","68","0"
"292484","542.64","509","94","14","7A+","24","1975-08-25 00:00:00","190","88","0"
"2133301","657.82","2917","86","19","8B+","21","1976-11-18 00:00:00","170","63","0"
"8507","405.10","17","2","1","6B","33","1968-11-21 00:00:00","172","73","0"
"209160","1000.77","201","30","18","8C","13","1977-07-21 00:00:00","176","63","0"
"754487","792.53","873","77","14","8B","26","1967-11-07 00:00:00","162","53","0"
"97147","981.28","93","19","5","8B","13","1981-07-16 00:00:00","182","68","0"
"67662","650.60","95","19","4","7B+","10","1968-03-06 00:00:00","180","68","0"
"246329","1043.77","232","47","21","8C","11","1981-02-20 00:00:00","167","58","0"
"243307","805.65","287","43","21","8A+","19","1973-02-07 00:00:00","184","73","0"
"695","695.00","1","1","1","6B+","17","1984-01-04 00:00:00","195","58","0"
"2150","716.67","2","1","1","7A+","13","1984-06-05 00:00:00","175","58","0"
"89237","883.53","100","23","3","8A+","22","1974-02-19 00:00:00","172","68","0"
"664749","825.78","781","45","12","8C","19","1981-03-30 00:00:00","181","73","0"
"143364","819.22","141","23","12","8A","18","1978-01-03 00:00:00","177","78","0"
"264287","746.57","339","50","12","8A","24","1975-07-15 00:00:00","150","48","1"
"14730","420.86","24","3","1","7A+","24","1971-05-04 00:00:00","173","53","0"
"11425","952.08","12","4","1","8A","27","1968-01-19 00:00:00","160","58","0"
"262638","433.40","474","44","20","7B","18","1976-04-24 00:00:00","175","73","0"
"745251","776.30","954","69","23","8A+","21","1971-07-12 00:00:00","172","68","0"
"682545","685.29","914","88","16","7C+","23","1977-04-08 00:00:00","182","73","0"
"18795","817.17","22","2","3","7C","14","1981-09-01 00:00:00","184","68","0"
"388053","1005.32","369","64","16","8B+","17","1979-12-02 00:00:00","165","63","0"
"7200","720.00","8","4","1","7B+","20","1980-05-06 00:00:00","179","78","0"
"299415","1018.42","285","23","20","8C+","13","1982-04-01 00:00:00","179","68","0"
"30538","727.10","42","8","3","7C+","17","1980-05-27 00:00:00","185","68","0"
"542159","825.20","637","27","13","8C+","32","1983-12-26 00:00:00","161","53","1"
"132676","982.79","110","16","6","8B+","13","1986-11-18 00:00:00","255","78","0"
"31752","396.90","71","3","2","6B+","30","1967-12-18 00:00:00","180","78","0"
"56675","708.44","46","17","5","8A","18","1978-07-25 00:00:00","175","68","0"
"92242","704.14","120","13","6","7B+","16","1980-08-08 00:00:00","173","68","0"
"260767","902.31","289","40","11","8B+","11","1987-11-27 00:00:00","167","68","0"
"23683","717.67","32","5","3","7C","30","1970-07-04 00:00:00","180","48","0"
"20100","804.00","25","2","3","8A","19","1977-06-15 00:00:00","173","63","0"
"374550","869.03","366","20","14","8A","28","1971-10-11 00:00:00","178","73","0"
"48389","452.23","105","10","6","7A+","6","1989-08-31 00:00:00","145","43","1"
"37157","367.89","101","8","5","6C+","24","1968-06-29 00:00:00","188","88","0"
"8380","465.56","18","4","2","6B","20","1980-09-10 00:00:00","180","73","0"
"6756","519.69","13","5","1","7A","23","1977-12-27 00:00:00","180","73","0"
"16792","508.85","33","2","3","6C+","25","1976-06-07 00:00:00","172","58","0"
"292455","1033.41","279","15","15","8C","19","1975-09-13 00:00:00","172","63","0"
